date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:18:15	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2001%20Apr%202021%2013:48:14%20GMT	https://www.antistud.io/robots.txt		(from )
19:18:15	24861/24861	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Apr%202021%2013:48:14%20GMT	https://www.antistud.io/	D:/plugins/https___www.antistud.io_/www.antistud.io/index.html	(from )
19:18:16	55240/55240	---M-Z	200	added ('OK')	text/css	etag:%22ebc746449dd7fd2c2f023050a1746ace%22	https://assets.website-files.com/5f9afa5060661f74a53220d4/css/antistudio.aa5265af7.css	D:/plugins/https___www.antistud.io_/assets.website-files.com/5f9afa5060661f74a53220d4/css/antistudio.aa5265af7.css	(from https://www.antistud.io/)
19:18:16	17910/17910	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2001%20Apr%202021%2013:48:15%20GMT	https://use.typekit.net/bsi1vrw.js	D:/plugins/https___www.antistud.io_/use.typekit.net/bsi1vrw.js	(from https://www.antistud.io/)
19:18:16	796/796	---M--	200	added ('OK')	image/png	etag:%22dc9ae0155572e55f61b9d5ce165d6901%22	https://assets.website-files.com/5f9afa5060661f74a53220d4/5fc7c84763775d15195e4091_favicon_anti.png	D:/plugins/https___www.antistud.io_/assets.website-files.com/5f9afa5060661f74a53220d4/5fc7c84763775d15195e4091_favicon_anti.png	(from https://www.antistud.io/)
19:18:17	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://assets.website-files.com/img/webclip.png	D:/plugins/https___www.antistud.io_/assets.website-files.com/img/webclip.png	(from https://www.antistud.io/)
19:18:17	52/52	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-34%22	https://cdnjs.cloudflare.com/ajax/libs/Morphext/2.4.4/morphext.css	D:/plugins/https___www.antistud.io_/cdnjs.cloudflare.com/ajax/libs/Morphext/2.4.4/morphext.css	(from https://www.antistud.io/)
19:18:17	58129/58129	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-e311%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.2/animate.min.css	D:/plugins/https___www.antistud.io_/cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.2/animate.min.css	(from https://www.antistud.io/)
19:18:18	89493/89493	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-15d95%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.5.0/jquery.min.js	D:/plugins/https___www.antistud.io_/cdnjs.cloudflare.com/ajax/libs/jquery/3.5.0/jquery.min.js	(from https://www.antistud.io/)
19:18:19	1014/1014	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf0-3f6%22	https://cdnjs.cloudflare.com/ajax/libs/Morphext/2.4.4/morphext.min.js	D:/plugins/https___www.antistud.io_/cdnjs.cloudflare.com/ajax/libs/Morphext/2.4.4/morphext.min.js	(from https://www.antistud.io/)
